Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,289.2,293.25,289.2,291.55,429314
2020-01-03,290,292.25,288.35,291.95,440067
2020-01-06,288.95,290.65,285.15,289.65,494435
2020-01-07,290.55,296.5,290.5,294.75,489629
2020-01-08,294,302.85,293.5,302.85,686646
2020-01-09,307.15,310.55,304.95,310,734200
2020-01-10,311.45,311.85,307.05,309.05,496127
2020-01-13,310.35,311.85,308.4,309.15,465002
2020-01-14,309.7,315.4,308.2,313.25,600907
2020-01-15,313.6,316.05,311.95,316.05,503382
2020-01-16,316.4,317.45,313.4,313.9,348285
2020-01-17,314.85,315.75,309.6,311.65,759947
2020-01-20,311.6,312.2,308.5,310.25,383396
2020-01-21,307.95,311.5,306.2,311.5,371294
2020-01-22,313,316.15,311.75,315.05,489356
2020-01-23,312.95,313.95,308.95,310.6,536951
2020-01-24,313.3,316.1,311.7,313,322382
2020-01-27,307,308,300,300,786804
2020-01-28,300.3,301.95,293.15,301.95,824376
2020-01-29,301.85,302.15,294.9,296.3,537865
2020-01-30,291.4,296.55,291,292.9,547364
2020-01-31,294.3,296.3,285.8,285.8,864471
2020-02-03,285.75,287.75,281.8,285,847502
2020-02-04,285.75,292.6,285.75,291.4,784106
2020-02-05,290.25,291.5,288.9,290.45,850951
2020-02-06,292.5,293.3,286.25,289.6,595853
2020-02-07,287.95,290.35,286.5,289.1,573197
2020-02-10,287.15,288.85,285.05,286.05,504651
2020-02-11,286.45,291.15,283.7,286.8,909262
2020-02-12,288,291.35,286.7,290.7,518720
2020-02-13,287.55,288.35,284.35,287.7,546460
2020-02-14,286.9,289.95,286.5,288.4,424460
2020-02-17,289.2,291.9,288.15,291.45,385470
2020-02-18,289,290.9,285.05,285.45,514151
2020-02-19,286.7,294.65,276,292.7,1131003
2020-02-20,292.5,292.85,285,285,651691
2020-02-21,283,286.85,280.45,282.45,713383
2020-02-24,273.9,274.25,263.4,265.05,1418530
2020-02-25,269.3,271.45,262.4,264.65,1341838
2020-02-26,262.05,266.85,254.5,262.5,1475579
2020-02-27,256.5,259.6,252.45,257.15,1365486
2020-02-28,246.5,252.3,243.5,250.55,1916560
2020-03-02,253.05,258.05,244.05,246.6,1352197
2020-03-03,249.85,256.5,248.25,251,1357238
2020-03-04,250.8,254.3,248.05,252.4,893698
2020-03-05,252.55,254.4,247.55,249.1,843273
2020-03-06,243,245.1,237.7,241.05,1150132
2020-03-09,213,232.2,209.9,227.3,2387113
2020-03-10,229.95,234.9,220.4,221,2082033
2020-03-11,212,214.4,195.18,200.8,3716777
2020-03-12,186.5,191.86,165.86,173.88,3869716
2020-03-13,178,184.14,168.36,171.94,3718888
2020-03-16,164.22,183.04,162.2,175.7,3543671
2020-03-17,180.88,180.88,163.62,173,2263460
2020-03-18,167.98,174.1,165.46,166.92,2139454
2020-03-19,168.16,179.58,164.56,177.08,1816061
2020-03-20,186.62,195.58,185.38,191.5,2781574
2020-03-23,182.76,186.9,178.62,180.62,1813196
2020-03-24,190.22,196.04,186.82,195.32,1834349
2020-03-25,204.9,213,198.66,211,2194130
2020-03-26,206,214.75,203.1,214.6,1292384
2020-03-27,210.4,214.9,206.3,208.95,1265677
2020-03-30,209.15,210.1,199.3,206.8,990692
2020-03-31,211,216.1,203.35,205.9,1266450
2020-04-01,199.4,202.8,197,199.85,1014076
2020-04-02,200.2,202,194.2,197.75,879102
2020-04-03,195.7,196.75,188,188.55,1103716
2020-04-06,195.5,200.7,193.35,200.1,938539
2020-04-07,206,213.7,205.3,207.9,1076100
2020-04-08,207.2,216.7,206.3,216,1010055
2020-04-09,221.2,226,215.7,224.3,1319853
2020-04-14,227.8,229,222.3,224.9,750236
2020-04-15,222,223.9,213.6,214.3,1038603
2020-04-16,214.5,215.9,209.6,211.7,821745
2020-04-17,217.4,223.5,216.7,218.7,1279772
2020-04-20,220.4,222.8,217.7,221.6,617101
2020-04-21,217.8,220.1,211.1,211.2,1011225
2020-04-22,211.6,212.2,205.1,206.8,886899
2020-04-23,206.5,210.7,204.2,208.4,930845
2020-04-24,203.6,207.7,202.2,205.4,878116
2020-04-27,198.25,216.4,197.2,206.8,1409663
2020-04-28,207.5,210.2,201.5,205.4,963143
2020-04-29,204.1,213.6,199.7,212.5,1214197
2020-04-30,214.7,217.8,208,209.2,1247587
2020-05-04,203,203.6,193.1,193.85,1494144
2020-05-05,196.9,199.35,193.9,198.85,828679
2020-05-06,199.35,200.4,193.05,200,1016561
2020-05-07,200,210.5,199.35,209.1,1165279
2020-05-08,211,212.8,206.6,207.9,531327
2020-05-11,209.9,210.5,203.9,205.5,588505
2020-05-12,204.1,207.6,203.2,204.3,586823
2020-05-13,201.2,202.4,196.25,198.15,973475
2020-05-14,195,197.15,189.4,195.25,918512
2020-05-15,196.65,200.4,196.2,200.3,831199
2020-05-18,203.3,217,203.3,214.9,1298436
2020-05-19,219.6,221.4,213.6,218.1,1258762
2020-05-20,217.8,220.8,216.6,220.2,791109
