Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,90.8,91.12,90.42,90.54,7693
2020-01-03,91.23,91.23,90.38,91.01,5818
2020-01-06,91.19,91.19,90,90.72,2942
2020-01-07,91.19,92.23,91.04,91.96,3573
2020-01-08,91.3,91.78,90.5,91.45,7367
2020-01-09,92.32,92.32,91.69,92.14,3799
2020-01-10,91.8,91.93,90.9,91.26,2592
2020-01-13,91.09,91.72,90.69,91.18,4371
2020-01-14,92.01,92.98,91.32,92.72,3512
2020-01-15,92.59,92.82,92.21,92.31,2474
2020-01-16,92.49,92.99,91.19,92.94,13373
2020-01-17,92.99,94.15,92.8,93.85,10588
2020-01-20,94.23,95,94.23,95,2775
2020-01-21,94.5,94.5,93.52,93.97,7396
2020-01-22,94.85,95.33,94.51,95.02,2889
2020-01-23,94.29,94.9,93.5,93.57,4591
2020-01-24,93.5,93.97,93.05,93.05,2958
2020-01-27,91.81,91.81,89,90.92,18649
2020-01-28,91.16,92.13,90.5,91.45,3335
2020-01-29,91.4,92,90.95,91.11,4932
2020-01-30,89.76,90.45,88.82,89.04,11607
2020-01-31,89.52,89.52,87.67,87.72,5461
2020-02-03,87.81,91.22,87.8,91.08,13147
2020-02-04,90.75,92.87,90.75,92.36,6637
2020-02-05,91.92,93.05,90.49,91.1,13455
2020-02-06,92,92.24,91.33,91.43,3240
2020-02-07,91.11,92.07,90.28,90.76,1295
2020-02-10,91.33,91.94,90.76,91.21,1835
2020-02-11,91.2,91.9,91.2,91.34,3423
2020-02-12,91.67,93.77,91.66,93.7,2259
2020-02-13,94.27,95.56,93.65,95.56,10972
2020-02-14,95.69,96.51,94.75,94.82,5695
2020-02-17,96.16,96.3,95.4,96.1,4926
2020-02-18,95.24,95.66,94.24,94.24,8845
2020-02-19,94.67,95.64,94.41,95.64,7323
2020-02-20,94.87,95.19,93.48,93.48,2688
2020-02-21,94.44,94.49,92.25,92.25,7530
2020-02-24,87.31,89.8,87.3,88.91,21618
2020-02-25,88.84,89.19,86.71,87.16,5956
2020-02-26,85.17,86.86,82.2,86.73,19317
2020-02-27,83.39,83.79,80.78,82.43,15573
2020-02-28,77.23,80.4,77.1,78.87,25853
2020-03-02,82.1,82.59,78.07,80.88,23262
2020-03-03,83.39,84.8,82.15,83.1,12135
2020-03-04,83.29,84.06,82,82.17,7218
2020-03-05,83.89,83.9,80.8,81.6,6426
2020-03-06,79.99,80,77.42,78,44131
2020-03-09,70.91,75.69,70.17,74.26,23796
2020-03-10,75.35,77.81,73,74.05,13974
2020-03-11,76.7,77,73,73.48,14756
2020-03-12,70,70.69,66.3,66.56,27535
2020-03-13,68.75,70.96,64.7,66.86,27686
2020-03-16,62.47,64.86,57.08,63.96,25963
2020-03-17,63.11,65.92,57,64.82,24443
2020-03-18,60.67,61.24,58,58.36,14693
2020-03-19,62.11,64.01,60,63.94,20792
2020-03-20,67.88,69.06,65.59,66.27,38419
2020-03-23,61.51,64.11,57.87,61.51,53160
2020-03-24,61.44,65.2,59.4,65.2,29005
2020-03-25,75.42,76.67,70.68,74.09,67445
2020-03-26,71.89,78.99,69.93,77.33,51305
2020-03-27,75.31,76.04,72.52,75.14,37984
2020-03-30,74.99,77.43,73.85,77.43,14563
2020-03-31,78,79,75.83,77.16,12363
2020-04-01,74.7,74.7,71.8,73.71,17077
2020-04-02,73.34,75,71.52,73.01,16818
2020-04-03,73,74.47,72.45,72.65,9774
2020-04-06,76.25,77.06,74.63,76.81,7189
2020-04-07,80.25,81.48,77.81,79.14,17526
2020-04-08,77.8,79.39,77,78.87,16191
2020-04-09,79,79.8,77.88,79.25,16602
2020-04-14,78.95,79.23,77.34,78.12,3425
2020-04-15,80.27,80.27,76.42,76.42,6702
2020-04-16,78.99,79.88,77.9,79.88,7830
2020-04-17,80.78,82.92,80.78,82.14,9487
2020-04-20,82.49,82.49,81.03,82.37,9334
2020-04-21,80.65,80.65,78.46,78.65,13994
2020-04-22,79.01,81.67,79.01,81.59,6210
2020-04-23,82.69,83.11,81.59,82.28,14130
2020-04-24,81,82.23,80.22,81.47,3413
2020-04-27,81.31,82.87,80.99,82.28,8986
